سؤال	إجابة	context
ما هي المتطلبات القانونية ليتزوج الرجل بامرأة أخرى بينما زوجته الأولى لا تزال على قيد الحياة؟	يجب عليه الكشف عن حالته الاجتماعية للزوجة الجديدة وعائلتها ، ويجب عليه الحصول على موافقة الزوجة الأولى.	
في ظل الظروف التي يمكن للزوجة أن تطلب الطلاق من زوجها إذا تزوج بامرأة أخرى؟	إذا تسبب لها ذلك في أذىً ماديًا أو معنويًا يجعل من المستحيل عليها الاستمرار في العيش معه.	
كم من الوقت لدى الزوجة لتطلب الطلاق بعد أن تعلم أن زوجها تزوج بامرأة أخرى؟	عام واحد من تاريخ علمها بأن زوجها تزوج بامرأة أخرى.	
ماذا يحدث إذا لم تطلب الزوجة الطلاق في غضون عام من علمها أن زوجها تزوج بامرأة أخرى؟	تفقد حقها في القيام بذلك ، إلا إذا استطاعت إثبات أن لديها سببًا وجيهًا لعدم تقديم الطلب في وقت سابق.	
ماذا يحدث إذا كانت الزوجة الجديدة لا تعلم أن زوجها متزوج بالفعل؟	لها الحق في طلب الطلاق.	
هل يجوز للرجل أن يتزوج بامرأة أخرى دون موافقة زوجته الأولى؟	نعم ، يجوز للرجل في الإسلام أن يتزوج بامرأة أخرى دون موافقة زوجته الأولى. ومع ذلك ، يُعتبر من الأفضل الحصول على موافقتها أولاً.	
ما هي الشروط الإسلامية ليتزوج الرجل بامرأة ثانية؟	يجب أن يكون قادرًا على تحمل نفقاتها ماليًا وأن يعاملها بإنصاف. يجب أن يكون عادلاً أيضًا بين جميع زوجاته.	
ما هي فوائد زواج الرجل بامرأة ثانية؟	أن يكون لديه المزيد من الأطفال ، ويزيد من ثروته ومكانته الاجتماعية ، ويقدم الرفقة لنفسه ولزوجاته.	
ما هي التحديات التي تواجه الرجل المتزوج بامرأة ثانية؟	إدارة وقته وموارده بشكل عادل ، وحل النزاعات بين زوجاته ، والحفاظ على علاقة جيدة مع زوجته الأولى.	
ما هي بعض النصائح للرجل الذي يفكر في الزواج بامرأة ثانية؟	التأكد من أنه يستطيع تحمل نفقات اثنين من الأسر أو أكثر ماليًا ، الحصول على موافقة زوجته الأولى (إن أمكن) ، اختيار زوجة ثانية متوافقة معه وزوجته الأولى ، معاملة زوجتيه بإنصاف وعدل ، والاستعداد للتحديات المتمثلة في إدارة اثنين من الأسر أو أكثر.	
ما هو الشرط الأساسي لوقف نفقة الزوجة؟	أن تمتنع الزوجة عن طاعة الزوج دون حق.	
متى تعتبر الزوجة ممتنعة دون حق عن طاعة الزوج؟	إذا لم تعد إلى منزل الزوجية بعد دعوة الزوج إياها للعودة بإعلان على يد محضر لشخصها أو من ينوب عنها.	
ما هو ميعاد اعتراض الزوجة على وقف نفقتها؟	ثلاثون يومًا من تاريخ إعلانها بالإنذار.	
ماذا يحدث إذا لم تتقدم الزوجة بطلب الاعتراض في الميعاد المحدد؟	يعتبر اعتراضها مرفوضًا، ويعتد بوقف نفقتها من تاريخ انتهاء الميعاد.	
ما هي الأوجه الشرعية التي يمكن للزوجة أن تستند إليها في امتناعها عن طاعة الزوج؟	مثل أن يطلب الزوج منها ارتكاب معصية، أو أن يمنعها من زيارة أهلها، أو أن يضربها.	
متى تتدخل المحكمة لإنهاء النزاع بين الزوجين صلحًا؟	عند نظر اعتراض الزوجة على وقف نفقتها، أو بناء على طلب أحد الزوجين.	
ما هي إجراءات التحكيم التي تتخذها المحكمة إذا بان لها أن الخلاف مستحكم وطلبت الزوجة التطليق؟	الإجراءات الموضحة في المواد من 7 إلى 11 من قانون الأحوال الشخصية المصري.	
في أي الحالات يحق للزوجة طلب التطليق لغيبة الزوج؟	إذا غاب الزوج مدة سنة متصلة بلا عذر مقبول.	
في أي الحالات يحق للزوجة طلب التطليق لحبس الزوج؟	إذا حبس مدة سنة بلا تهمة أو حكم نهائي، أو إذا حبس مدة ثلاث سنوات بحكم نهائي.	
كيف تثبت الزوجة غياب الزوج أو حبسه؟	يجب عليها أن تثبت ذلك بحكم قضائي.	
ما هي المسؤوليات المالية للزوج تجاه زوجته إذا رفضت العودة إلى منزل الزوجية دون حق؟	يظل الزوج ملزمًا بنفقة زوجته، ما دام لم يحكم القاضي بوقف النفقة.	
هل يحق للزوج أن يمنع زوجته من الخروج من منزل الزوجية؟	لا يحق للزوج منع زوجته من الخروج من منزل الزوجية، إلا إذا كانت تخالف الشرع أو القانون.	
هل يحق للزوج أن يضرب زوجته؟	لا يحق للزوج ضرب زوجته تحت أي ظرف من الظروف.	
هل يحق للزوجة أن تمنع زوجها من زيارة أهله؟	لا يحق للزوجة منع زوجها من زيارة أهله، إلا إذا كانوا يفسدان عليه علاقته بها.	
هل يجوز للزوجة أن تطلب الطلاق إذا كانت حاملًا؟	نعم، يجوز للزوجة أن تطلب الطلاق إذا كانت حاملًا، ولكن يجب عليها أن تثبت أن زوجها لا يستطيع الإنفاق عليها وعلى مولودها.	
هل يحق للزوجة أن تطلب الطلاق إذا كان لديها أطفال صغار؟	نعم، يحق للزوجة أن تطلب الطلاق إذا كان لديها أطفال صغار، ولكن يجب عليها أن تثبت أن زوجها لا يستطيع رعايتهم.	
هل يحق للزوج المطالبة بحضانة الأبناء بعد الطلاق؟	نعم، يحق للزوج المطالبة بحضانة الأبناء بعد الطلاق، ولكن يجب عليه أن يثبت أنه يستطيع رعايتهم.	
ما هي نفقة الأبناء بعد الطلاق؟	نفقة الأبناء بعد الطلاق هي التكاليف اللازمة لمعيشتهم وتعليمهم ورعايتهم، وتستحق النفقة من تاريخ الطلاق حتى بلوغ الأبناء سن الرشد.	
من هي الجهة المختصة بالنظر في دعاوي الأسرة؟	المحاكم المدنية هي الجهة المختصة بالنظر في دعاوي الأسرة، مثل دعاوى الطلاق ونفقة الزوجة والأبناء.	
ما هي الإجراءات اللازمة لرفع دعوى أسرة؟	يجب على الزوج أو الزوجة أن تتقدم باستدعاء إلى المحكمة، مرفقًا به المستندات المؤيدة لدعواه، مثل عقد الزواج وشهادة ميلاد الأبناء.	
ما هي المادة التي تنظم طلاق الغيبة في القانون المصري؟	المادة 13 من القانون رقم 25 لسنة 1929، بشأن الأحوال الشخصية.	
ما هي شروط طلب الطلاق للغيبة؟	أن تكون الزوجة قد تضررت من غياب زوجها عنها لمدة سنة فأكثر بلا عذر مقبول، وأن يكون للزوجة مال تستطيع الإنفاق منه.	
ما هي المقصود بالتضرر من غياب الزوج؟	أن تشعر الزوجة بفقدان الزوج في حياتها، وأن يؤثر ذلك على حياتها الاجتماعية والاقتصادية.	
ما هي مدة غياب الزوج التي تسمح للزوجة طلب الطلاق للغيبة؟	سنة فأكثر.	
ما هي أنواع الأعذار التي تقبل لغياب الزوج؟	المرض، العمل، السفر، وغيرها من الأعذار التي يقدرها القاضي.	
هل يشترط أن يكون للزوجة مال تستطيع الإنفاق منه حتى تتمكن من طلب الطلاق للغيبة؟	نعم.	
ما هو نوع الطلاق الذي يصدر في حالة صدور حكم بالطلاق للغيبة؟	الطلاق البائن.	
هل يجوز للزوج أن يراجع زوجته بعد صدور حكم بالطلاق للغيبة؟	لا يجوز له مراجعتها إلا بعقد جديد.	
ما هي المدة التي يجب على القاضي أن يضربها للزوج الغائب قبل أن يطلق زوجته منه إذا كان من الممكن وصول الرسائل إليه؟	لا يوجد مدة محددة، يقدرها القاضي وفقاً للظروف.	
ما الذي يحدث إذا لم يبد الزوج عذراً مقبولا لغيابه بعد انقضاء الأجل الذي ضرب له القاضي؟	يطلق القاضي الزوجة منه بتطليقة بائنة.	
ما الذي يحدث إذا كان من غير الممكن وصول الرسائل إلى الزوج الغائب؟	يطلق القاضي الزوجة منه دون الحاجة إلى ضرب أجل أو إعذاره.	
ما هي الخطوات التي يجب على الزوجة اتباعها لطلب الطلاق للغيبة؟	يجب عليها أن ترفع دعوى قضائية أمام محكمة الأسرة، وتقدم دليلًا على غياب زوجها عنها لمدة سنة فأكثر بلا عذر مقبول، وأنها تضررت من غيابه.	
ما هي المستندات التي يجب على الزوجة تقديمها عند رفع دعوى الطلاق للغيبة؟	يجب عليها تقديم صورة من عقد الزواج، وصورة من بطاقة الرقم القومي لها ولزوجها، وشهادة من الحي تثبت غياب زوجها عنها لمدة سنة فأكثر.	
ما هي تكاليف رفع دعوى الطلاق للغيبة؟	الرسوم القضائية قليلة جدًا، ويمكن للزوجة الاستفادة من الإعفاء من الرسوم القضائية إذا كانت غير قادرة على دفعها.	
ما هي المدة التي تستغرقها إجراءات الطلاق للغيبة؟	تختلف المدة حسب ظروف كل دعوى، ولكنها عادةً ما تستغرق عدة أشهر.	
هل يمكن للزوجة أن تتراجع عن طلب الطلاق للغيبة بعد رفعه؟	نعم، يمكنها التراجع عن طلب الطلاق في أي وقت قبل صدور الحكم.	
هل يمكن للزوج الغائب أن يعترض على دعوى الطلاق للغيبة؟	نعم، يمكنه الاعتراض على دعوى الطلاق، ولكن يجب عليه أن يثبت أن غيابه كان بسبب عذر مقبول، وأنه لم يضر بزوجته.	
ماذا يحدث إذا اعترض الزوج الغائب على دعوى الطلاق للغيبة؟	ستقوم المحكمة بفحص اعتراضه، وإذا رأت أنه اعتراض صحيح، فإنها سترفض دعوى الطلاق، وإذا رأت أنه اعتراض غير صحيح، فإنها ستحكم بالطلاق.	
هل يمكن للزوج الغائب أن يستأنف حكم الطلاق للغيبة؟	نعم، يمكنه استئناف الحكم، ولكن يجب عليه أن يقدم استئنافه خلال المدة المحددة قانونًا.	
ماذا يحدث إذا لم يستأنف الزوج الغائب حكم الطلاق للغيبة؟	سيصبح الحكم نهائيًا، ولن يتمكن من الطعن فيه بعد ذلك.	
سؤال	جواب	السياق
ما هي شروط وجوب نفقة الزوجة في القانون المصري؟	يجب أن يكون عقد الزواج صحيحًا وأن تكون الزوجة صالحة لتحقيق مقصود الزواج منها وأن تكون مقيمة في بيت الزوجية.	الفقرة الأولى
ما هي أنواع نفقة الزوجة؟	نفقة الطعام والشراب، نفقة الكسوة، نفقة المسكن، نفقة الخادم، ومصاريف العلاج.	الفقرة الثانية
في أي الحالات تسقط نفقة الزوجة؟	تسقط نفقة الزوجة في حال ارتدادها عن دين الإسلام، امتناعها عن الانتقال إلى بيت الزوجية دون عذر شرعي، خروجها من بيت الزوجية دون إذن زوجها، أو اشتغالها بأعمال تدر عليها دخلاً كافياً.	الفقرة الثالثة
كيف يتم الحكم بنفقة الزوجة؟	تعتبر نفقة الزوجة ديناً على الزوج من تاريخ امتناعه عن الإنفاق مع وجوبه، ولا تسقط نفقة الزوجة إلا بالإبراء أو الوفاء، ولا تسمع دعوى النفقة عن مدة ماضية أكثر من سنة تالية لتاريخ رفع الدعوى، ولا يقبل من الزوج طلب المقاصة بين نفقة الزوجة وبين دين له عليها إلا بقدر ما يفي بحاجتها الضرورية، ولنفقة الزوجة امتياز على جميع أموال الزوج، ويتقدم في مرتبته على ديون النفقة الأخرى.	الفقرة الرابعة
ما هو الحكم في الزوجة المقيمة في بيت الزوجية؟	إذا خرجت الزوجة من بيت الزوجية دون إذن زوجها، فإن نفقتها تسقط، إلا إذا خرجت في الأحوال التي يباح فيها الخروج شرعاً، مثل خروجها للعمل أو لزيارة أهلها أو لأداء فريضة دينية.	الفقرة الخامسة
ما هو الحكم في الزوجة المشغلة؟	إذا كانت الزوجة تعمل وتدر عليها دخلاً كافياً، فإن نفقتها تسقط، إلا إذا كان دخلها لا يكفي لسد احتياجاتها الضرورية.	الفقرة السادسة
كيف يتم تقدير مقدار نفقة الزوجة؟	تقدر نفقة الزوجة حسب قدرة الزوج المالية وظروف الزوجة المعيشية.	الفقرة السابعة
ما هي الإجراءات المتبعة لطلب نفقة الزوجة؟	ترفع دعوى نفقة الزوجة أمام المحكمة المختصة، وتثبت الزوجة في دعواها قيام علاقة الزوجية بينها وبين زوجها، وأنها مازالت مقيمة في بيت الزوجية، وأنها لا تعمل أو أن دخلها لا يكفي لسد احتياجاتها الضرورية.	الفقرة الثامنة
في أي حالة يكون الزوج ملزماً بالإنفاق على زوجته؟	في حالة صدور حكم بفرض النفقة، يكون الزوج ملزماً بالإنفاق على زوجته طبقاً للحكم الصادر.	الفقرة التاسعة
		
ما هي شروط وجوب نفقة الزوجة في القانون المصري؟	أن يكون عقد الزواج صحيحاً، وأن تكون الزوجة صالحة لتحقيق مقصود الزواج منها، وأن تكون الزوجة مقيمة في بيت الزوجية.	الفقرة الأولى
ما هي أنواع نفقة الزوجة؟	نفقة الطعام والشراب، ونفقة الكسوة، ونفقة المسكن، ونفقة الخادم، ومصاريف العلاج.	الفقرة الثانية
في أي الحالات تسقط نفقة الزوجة؟	ارتداد الزوجة عن دين الإسلام، وامتناع الزوجة عن الانتقال إلى بيت الزوجية دون عذر شرعي، وخروج الزوجة من بيت الزوجية دون إذن زوجها، واشتغال الزوجة بأعمال تدر عليها دخلاً كافياً.	الفقرة الثالثة
ما هو حكم نفقة الزوجة؟	تعتبر نفقة الزوجة ديناً على الزوج من تاريخ امتناعه عن الإنفاق مع وجوبه، ولا تسقط نفقة الزوجة إلا بالإبراء أو الوفاء، ولا تسمع دعوى النفقة عن مدة ماضية أكثر من سنة تالية لتاريخ رفع الدعوى، ولا يقبل من الزوج طلب المقاصة بين نفقة الزوجة وبين دين له عليها إلا بقدر ما يفي بحاجتها الضرورية، ولنفقة الزوجة امتياز على جميع أموال الزوج، ويتقدم في مرتبته على ديون النفقة الأخرى.	الفقرة الرابعة
ما هو شرح بعض الأحكام المتعلقة بنفقة الزوجة؟	إذا خرجت الزوجة من بيت الزوجية دون إذن زوجها، فإن نفقتها تسقط، إلا إذا خرجت في الأحوال التي يباح فيها الخروج شرعاً، مثل خروجها للعمل أو لزيارة أهلها أو لأداء فريضة دينية. وإذا كانت الزوجة تعمل وتدر عليها دخلاً كافياً، فإن نفقتها تسقط، إلا إذا كان دخلها لا يكفي لسد احتياجاتها الضرور	
		
		
ما هي شروط وجوب نفقة الزوجة في القانون المصري؟	يجب أن يكون عقد الزواج صحيحاً، وأن تكون الزوجة صالحة لتحقيق مقصود الزواج منها، وأن تكون الزوجة مقيمة في بيت الزوجية.	الفقرة الأولى
ما هي أنواع نفقة الزوجة؟	تشمل نفقة الزوجة الطعام والشراب والكسوة والمسكن والخادم ومصاريف العلاج.	الفقرة الثانية
في أي الحالات تسقط نفقة الزوجة؟	تسقط نفقة الزوجة في حال ارتدادها عن دين الإسلام، أو امتناعها عن الانتقال إلى بيت الزوجية دون عذر شرعي، أو خروجها من بيت الزوجية دون إذن زوجها، أو اشتغالها بأعمال تدر عليها دخلاً كافياً.	الفقرة الثالثة
ما هو حكم نفقة الزوجة؟	تعتبر نفقة الزوجة ديناً على الزوج من تاريخ امتناعه عن الإنفاق مع وجوبه، ولا تسقط إلا بالإبراء أو الوفاء، ولا تسمع دعوى النفقة عن مدة ماضية أكثر من سنة تالية لتاريخ رفع الدعوى، ولا يقبل من الزوج طلب المقاصة بين نفقة الزوجة وبين دين له عليها إلا بقدر ما يفي بحاجتها الضرورية، ولنفقة الزوجة امتياز على جميع أموال الزوج، ويتقدم في مرتبته على ديون النفقة الأخرى.	الفقرة الرابعة
